,test_pos,test_neg,train_pos,train_neg
0,tt0406816,tt0406816,tt0453418,tt0064354
1,tt0406816,tt0406816,tt0453418,tt0100680
2,tt0406816,tt0406816,tt0453418,tt0100680
3,tt0406816,tt0406816,tt0064354,tt0100680
4,tt0406816,tt0406816,tt0064354,tt0047200
5,tt0406816,tt0406816,tt0100680,tt0893406
6,tt0406816,tt0085461,tt0100680,tt0893406
7,tt0406816,tt0065611,tt0100680,tt0893406
8,tt0406816,tt0065611,tt0100680,tt0893406
9,tt0406816,tt0065611,tt0100680,tt0893406
10,tt0406816,tt0065611,tt0100680,tt0893406
11,tt0406816,tt0065611,tt0100680,tt0893406
12,tt0406816,tt0065611,tt0100680,tt0893406
13,tt0406816,tt0065611,tt0100680,tt0893406
14,tt0406816,tt0103886,tt0100680,tt0893406
15,tt0406816,tt0184474,tt0100680,tt0893406
16,tt0406816,tt0762073,tt0100680,tt0893406
17,tt0085461,tt0762073,tt0100680,tt0277931
18,tt0085461,tt0082084,tt0100680,tt0277931
19,tt0085461,tt0082084,tt0100680,tt0479948
20,tt0085461,tt0082084,tt0100680,tt0479948
21,tt0085461,tt0082084,tt0100680,tt0479948
22,tt0085461,tt0082084,tt0177606,tt0479948
23,tt0085461,tt0082084,tt0177606,tt0479948
24,tt0085461,tt0082084,tt0177606,tt0479948
25,tt0085461,tt0082084,tt0177606,tt0479948
26,tt0085461,tt0082084,tt0177606,tt0479948
27,tt0085461,tt0036723,tt0074223,tt0479948
28,tt0085461,tt0036723,tt0074223,tt0479948
29,tt0085461,tt0036723,tt0074223,tt0101829
30,tt0085461,tt0036723,tt0074223,tt0127388
31,tt0085461,tt0253016,tt0074223,tt0127388
32,tt0407936,tt0291257,tt0074223,tt0127388
33,tt0407936,tt0460834,tt0074223,tt0127388
34,tt0407936,tt0460834,tt0074223,tt0080486
35,tt0407936,tt0312859,tt0074223,tt0080486
36,tt0407936,tt0076478,tt0042042,tt0080486
37,tt0407936,tt0076478,tt0042042,tt0080486
38,tt0407936,tt0076478,tt0042042,tt0080486
39,tt0407936,tt0076478,tt0042042,tt0080486
40,tt0407936,tt0076478,tt0042042,tt0080486
41,tt0407936,tt0076478,tt0042042,tt0080486
42,tt0407936,tt0902952,tt0264689,tt0080486
43,tt0407936,tt0902952,tt0264689,tt0080486
44,tt0407936,tt0902952,tt0264689,tt0080486
45,tt0407936,tt0902952,tt0264689,tt0080486
46,tt0407936,tt0902952,tt0264689,tt0080486
47,tt0407936,tt0388784,tt0264689,tt0080486
48,tt0407936,tt0037620,tt0264689,tt0114366
49,tt0407936,tt0083973,tt0264689,tt0114366
50,tt0407936,tt0083973,tt0264689,tt0117382
51,tt0407936,tt0083973,tt0264689,tt0220631
52,tt0407936,tt0083973,tt0264689,tt0220631
53,tt0407936,tt0083973,tt0264689,tt0220631
54,tt0407936,tt0083973,tt0264689,tt0087951
55,tt0407936,tt0083973,tt0264689,tt0087951
56,tt0407936,tt0319477,tt0264689,tt0087951
57,tt0407936,tt0425659,tt0264689,tt0087951
58,tt0407936,tt0120611,tt0264689,tt0087951
59,tt0407936,tt0120611,tt0264689,tt0087951
60,tt0407936,tt0220173,tt0264689,tt0087951
61,tt0407936,tt0220173,tt0264689,tt0073766
62,tt0065611,tt0220173,tt0264689,tt0031999
63,tt0065611,tt0220173,tt0264689,tt0099300
64,tt0065611,tt0220173,tt0264689,tt0099300
65,tt0065611,tt0220173,tt0264689,tt0213446
66,tt0065611,tt0220173,tt0264689,tt0277941
67,tt0065611,tt0220173,tt0264689,tt0277941
68,tt0065611,tt0220173,tt0264689,tt0277941
69,tt0065611,tt0220173,tt0264689,tt0277941
70,tt0065611,tt0220173,tt0264689,tt0277941
71,tt0065611,tt0220173,tt0264689,tt0277941
72,tt0065611,tt0220173,tt0047200,tt0277941
73,tt0065611,tt0220173,tt0047200,tt0277941
74,tt0065611,tt0149691,tt0047200,tt0277941
75,tt0065611,tt0077245,tt0047200,tt0277941
76,tt0065611,tt0077245,tt0047200,tt0277941
77,tt0065611,tt0110604,tt0047200,tt0277941
78,tt0038286,tt0113638,tt0047200,tt0182225
79,tt0038286,tt0113638,tt0249106,tt0182225
80,tt0038286,tt0082525,tt0249106,tt0846119
81,tt0038286,tt0082525,tt0249106,tt0760179
82,tt0038286,tt0889579,tt0249106,tt0760179
83,tt0103886,tt0889579,tt0249106,tt0760179
84,tt0103886,tt0889579,tt0052855,tt0081421
85,tt0103886,tt0889579,tt0052855,tt0081421
86,tt0103886,tt0044417,tt0052855,tt0785025
87,tt0103886,tt0044417,tt0052855,tt0785025
88,tt0103886,tt0044417,tt0893406,tt0785025
89,tt0134127,tt0044417,tt0893406,tt0785025
90,tt0134127,tt0044417,tt0893406,tt0785025
91,tt0134127,tt0044417,tt0893406,tt0272950
92,tt0134127,tt0194773,tt0893406,tt0272950
93,tt0134127,tt0194773,tt0194989,tt0272950
94,tt0134127,tt0194773,tt0194989,tt0272950
95,tt0134127,tt0194773,tt0194989,tt0272950
96,tt0134127,tt0095357,tt0194989,tt0272950
97,tt0134127,tt0095357,tt0194989,tt0272950
98,tt0325129,tt0323571,tt0194989,tt0272950
99,tt0325129,tt0323571,tt0194989,tt0272950
100,tt0325129,tt0323571,tt0277931,tt0272950
101,tt0325129,tt0323571,tt0277931,tt0272950
102,tt0325129,tt0323571,tt0277931,tt0272950
103,tt0325129,tt0323571,tt0479948,tt0272950
104,tt0184474,tt0323571,tt0479948,tt0272950
105,tt0184474,tt0069994,tt0479948,tt0272950
106,tt0184474,tt0069994,tt0101829,tt0272950
107,tt0184474,tt0069994,tt0101829,tt0272950
108,tt0184474,tt0446687,tt0101829,tt0272950
109,tt0184474,tt0446687,tt0101829,tt0272950
110,tt0184474,tt0446687,tt0101829,tt0083189
111,tt0184474,tt0086544,tt0101829,tt0083189
112,tt0184474,tt0086544,tt0101829,tt0083189
113,tt0184474,tt0086544,tt0101829,tt0083189
114,tt0184474,tt0086544,tt0101829,tt0083189
115,tt0184474,tt0086071,tt0101829,tt0083189
116,tt0184474,tt0024897,tt0101829,tt0083189
117,tt0184474,tt0827521,tt0101829,tt0083189
118,tt0184474,tt0827521,tt0101829,tt0083189
119,tt0184474,tt0827521,tt0101829,tt0083189
120,tt0184474,tt0827521,tt0101829,tt0363018
121,tt0184474,tt0827521,tt0101829,tt0363018
122,tt0184474,tt0827521,tt0101829,tt0061834
123,tt0184474,tt0827521,tt0101829,tt0061834
124,tt0184474,tt0827521,tt0101829,tt0061834
125,tt0184474,tt0827521,tt0101829,tt0061834
126,tt0184474,tt0827521,tt0101829,tt0061834
127,tt0184474,tt0123816,tt0101829,tt0061834
128,tt0184474,tt0044778,tt0101829,tt0061834
129,tt0184474,tt0366518,tt0101829,tt0061834
130,tt0184474,tt0366518,tt0101829,tt0206187
131,tt0184474,tt0366518,tt0101829,tt0206187
132,tt0184474,tt0366518,tt0101829,tt0206187
133,tt0762073,tt0366518,tt0101829,tt0242998
134,tt0762073,tt0064990,tt0101829,tt0242998
135,tt0762073,tt0064990,tt0390393,tt0242998
136,tt0762073,tt0064990,tt0390393,tt0242998
137,tt0762073,tt0064990,tt0114366,tt0242998
138,tt0762073,tt0157784,tt0114366,tt0242998
139,tt0762073,tt0370402,tt0127392,tt0242998
140,tt0762073,tt0072930,tt0127392,tt0242998
141,tt0762073,tt0072930,tt0127392,tt0242998
142,tt0762073,tt0251094,tt0127392,tt0242998
143,tt0762073,tt0251094,tt0127392,tt0242998
144,tt0762073,tt0251094,tt0127392,tt0242998
145,tt0762073,tt0251094,tt0127392,tt0242998
146,tt0762073,tt0251094,tt0127392,tt0242998
147,tt0762073,tt0018294,tt0117382,tt0242998
148,tt0762073,tt0141459,tt0220631,tt0400944
149,tt0762073,tt0141459,tt0220631,tt0400944
150,tt0762073,tt0141459,tt0220631,tt0400944
151,tt0762073,tt0141459,tt0220631,tt0400944
152,tt0762073,tt0265298,tt0220631,tt0088939
153,tt0762073,tt0265298,tt0220631,tt0088939
154,tt0762073,tt0178928,tt0220631,tt0286098
155,tt0762073,tt0178928,tt0220631,tt0286098
156,tt0762073,tt0178928,tt0419773,tt0286098
157,tt0762073,tt0178928,tt0419773,tt0286098
158,tt0762073,tt0178928,tt0419773,tt0352426
159,tt0762073,tt0819714,tt0419773,tt0352426
160,tt0762073,tt0819714,tt0295456,tt0028108
161,tt0082084,tt0819714,tt0295456,tt0050135
162,tt0082084,tt0819714,tt0295456,tt0105631
163,tt0082084,tt0819714,tt0295456,tt0211492
164,tt0082084,tt0819714,tt0295456,tt0286610
165,tt0082084,tt0819714,tt0021778,tt0286610
166,tt0082084,tt0819714,tt0021778,tt0286610
167,tt0082084,tt0807716,tt0021778,tt0286610
168,tt0082084,tt0807716,tt0021778,tt0286610
169,tt0082084,tt0073271,tt0021778,tt0038733
170,tt0082084,tt0037595,tt0021778,tt0038733
171,tt0082084,tt0411674,tt0021778,tt0283974
